era,Title,Album,swear_total,total_words,swears_per_1000
REL,Forever,Relapse: Refill,4,225,17.77777778
REC,On Fire,Recovery,13,734,17.71117166
MTBMB,Stepdad,Music to Be Murdered By: Side B,11,625,17.6
MMLP2,Brainless,The Marshall Mathers LP 2,17,981,17.32925586
MTBMB,These Demons,Music to Be Murdered By: Side B,13,754,17.24137931
MMLP2,SHADYXV,SHADYXV,20,1161,17.22652885
Infinite,313,Infinite,5,292,17.12328767
MTBMB,Alfred’s Theme,Music to Be Murdered By: Side B,22,1291,17.04105345
ENC,Like Toy Soldiers,Encore (Deluxe Version),13,767,16.94915254
REC,Seduction,Recovery,10,593,16.86340641
TDOSS,Kyrie & Luka,The Death of Slim Shady (Coup De Grâce),7,421,16.62707838
SSLP,The Anthem,This or That,2,121,16.52892562
MTBMB,No Regrets,Music to Be Murdered By: Side B,4,244,16.39344262
REV,Heat,Revival,12,740,16.21621622
MTBMB,COFFIN,BEFORE LOVE CAME TO KILL US (Target Exclusive),5,310,16.12903226
Infinite,If I Had,Slim Shady EP,12,746,16.08579088
MMLP2,Survival,The Marshall Mathers LP 2,11,686,16.03498542
ESH,911,West Koasta Nostra,9,562,16.01423488
MTBMB,Favorite Bitch,Music to Be Murdered By: Side B,2,125,16
MMLP2,Wicked Ways,The Marshall Mathers LP 2,15,942,15.92356688
MMLP2,Groundhog Day,The Marshall Mathers LP 2,16,1005,15.92039801
ESH,Realest Nigga,24 Shots,7,440,15.90909091
ENC,You Don’t Know,Eminem Presents the Re-Up,3,189,15.87301587
ENC,Shady Baby,Bar Shots,3,189,15.87301587
MTBMB,Zeus,Music to Be Murdered By: Side B,10,634,15.77287066
MMLP,Don’t Approach Me,Restless,7,446,15.69506726
ENC,Hip Hop,Hannicap Circus,5,320,15.625
MTBMB,Book of Rhymes,Music to Be Murdered By: Side B,17,1091,15.58203483
MMLP2,A Kiss,Hell: The Sequel,8,517,15.47388781
TDOSS,Tobey,The Death of Slim Shady (Coup De Grâce),6,390,15.38461538
MTBMB,From The D 2 The LBC,Curtain Call 2,7,455,15.38461538
MTBMB,The Adventures of Moon Man & Slim Shady,,8,522,15.3256705
MMLP2,Don’t Front,The Marshall Mathers LP 2 (Expanded Edition),14,915,15.30054645
REL,Who Want It,The Villain,3,197,15.2284264
REL,Taking My Ball,Relapse: Refill,8,529,15.12287335
ENC,No Apologies,Eminem Presents the Re-Up,10,662,15.10574018
MMLP2,I'm On Everything,Hell: The Sequel,4,265,15.09433962
REV,Chloraseptic,Revival,11,738,14.90514905
MMLP,Revelation,Devil’s Night,5,336,14.88095238
MMLP,Revelation,Devil’s Night,5,336,14.88095238
REL,My Mom,Relapse: Refill,13,884,14.70588235
ENC,40 Oz.,D12 World,2,138,14.49275362
REC,Ridaz,Recovery,13,900,14.44444444
KAM,Greatest,Kamikaze,14,976,14.3442623
MMLP2,No Favors,I Decided.,6,419,14.31980907
ESH,Soldier,The Eminem Show,10,711,14.06469761
ESH,Hailie’s Revenge (Ja Rule Diss),Straight From The Lab,2,144,13.88888889
KAM,Normal,Kamikaze,10,722,13.85041551
MTBMB,Parables (Remix),From a Birds Eye View,7,514,13.61867704
MMLP2,Right for Me,SHADYXV,14,1028,13.61867704
ENC,American Psycho II,D12 World,2,149,13.42281879
ENC,My Band,D12 World,6,450,13.33333333
SSLP,Cum On Everybody,The Slim Shady LP,8,600,13.33333333
KAM,Lucky You,Kamikaze,8,600,13.33333333
TDOSS,Road Rage,The Death of Slim Shady (Coup De Grâce),8,601,13.31114809
TDOSS,Fuel (Shady Edition),The Death of Slim Shady (Coup De Grâce) [Expanded Mourner’s Edition],5,379,13.19261214
TDOSS,Evil,The Death of Slim Shady (Coup De Grâce),10,759,13.17523057
ENC,The Next One,Statlanta (Shady/Aftermath),3,228,13.15789474
MTBMB,Yah Yah,Music to Be Murdered By: Side B,5,383,13.05483029
TDOSS,Head Honcho,The Death of Slim Shady (Coup De Grâce),7,537,13.03538175
ESH,Sing for the Moment,The Eminem Show,9,695,12.94964029
MTBMB,Higher,Music to Be Murdered By: Side B,7,544,12.86764706
MMLP2,Our House,welcome to: OUR HOUSE,4,311,12.86173633
MMLP2,Symphony in H,The Piece Maker 3: Return Of The 50 MC’s,4,314,12.7388535
REL,Beautiful,Relapse: Refill,12,942,12.7388535
MTBMB,Gnat,Music to Be Murdered By: Side B,12,949,12.64488936
KAM,Kamikaze,Kamikaze,9,712,12.64044944
ENC,Testify,Statlanta (Shady/Aftermath),3,240,12.5
MTBMB,Rainy Days,Everything’s for Sale,4,321,12.46105919
TDOSS,Animals (Pt. 1),God Does Like Ugly,11,885,12.42937853
SSLP,I’m Shady,The Slim Shady LP,6,488,12.29508197
MMLP,Drug Ballad,The Marshall Mathers LP,9,732,12.29508197
ENC,Never Enough,Encore (Deluxe Version),4,332,12.04819277
REC,Going Through Changes,Recovery,7,583,12.00686106
ESH,Without Me,The Eminem Show,9,758,11.87335092
MMLP2,Headlights,The Marshall Mathers LP 2,8,674,11.8694362
SSLP,The Last Hit,Home Field Advantage,3,253,11.85770751
MMLP2,Asshole,The Marshall Mathers LP 2,11,934,11.77730193
REC,25 to Life,Recovery,7,601,11.64725458
ESH,Love Me,8 Mile,2,173,11.56069364
